Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Affects versions,Fix versions,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Link),Epic Link Summary,Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Custom field (Request participants),Satisfaction rating,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Work category),Custom field ([CHART] Date of First Response),Status Category
Leave Module,OH-86,10085,Story,Backlog,OH,OrangeHRM,software,robadi9664,637ea40d3e79f12e5720faef,,,Medium,,robadi9664,637ea40d3e79f12e5720faef,robadi9664,637ea40d3e79f12e5720faef,robadi9664,637ea40d3e79f12e5720faef,2/9/2023 17:24,2/14/2023 13:54,3/21/2023 22:55,,,OrangeHRM Release 1,,0,"A comprehensive leave management module with extensive possibilities of defining leave types, company
holidays, applying for and assigning of leave for the employees of the company. It caters for all application
and approval processes and is able to display information on leave entitlement, balance, history etc. 

The functionality of the Leave Module differs depending on the rights of the user. The Leave Module will be
described from the perspective of an administrator, an ESS User who is a supervisor and the normal ESS
user. 

The Admin can: 

  View Leave Entitlements for each employee and entitle leave days of each available type
  Generate Leave Entitlements and Usage Reports for himself/herself and all employees
  Configure leave periods, leave types, work week and holidays
  Assign Leave for any employee
  See Scheduled Leave for any employee
  See list of Taken Leave for any employee
  If the admin user is an employee then he will see the ‘Apply’ ‘My Leave’ and ‘Entitlements’ options
along with the rest of the features. 

A Supervisor can: 

  View the Personal or Employee (subordinate) Leave Entitlements
  Generate Leave Entitlements and Usage Reports for himself/herself and his/her subordinates
  View the Leave List
  Apply Leave
  Assign Leave for his/her subordinates
   Approve/Reject Leave for his/her subordinates 

The ESS User can: 

  View the Personal Leave Entitlement
  Generate Leave Entitlements and Usage Reports for himself/herself
  View the detailed leave information
  Apply for leave ",,robadi9664,637ea40d3e79f12e5720faef,,,,,,,,,,OH-87,OH-88,OH-89,OH-104,OH-106,,,,,,,,,,,,,,,,,,,,,,,0|i00077:,,,,,,,,,,,,,,To Do
PIM Module,OH-77,10076,Story,Backlog,OH,OrangeHRM,software,robadi9664,637ea40d3e79f12e5720faef,,,Medium,,robadi9664,637ea40d3e79f12e5720faef,robadi9664,637ea40d3e79f12e5720faef,robadi9664,637ea40d3e79f12e5720faef,2/9/2023 14:05,2/14/2023 12:39,3/21/2023 22:53,,,OrangeHRM Release 1,,0,"This core module maintains all relevant employee related information, including different types of personal information, detailed qualifications, work experience, job related information etc. Information captured in
this module is utilized by all other modules, thus eliminating data redundancy. Records can be either entered manually one by one or imported from a CSV file. You cannot import all the details but you can edit the
remaining fields.  

The functionality of the PIM Module differs depending on the rights of the user. 

The HR can: 

  Configure optional/custom fields, data import from CSV, define reporting methods and termination
reasons that will be used throughout the module.
  View all employee details
  Add employee on the list.
  Generate employee report 

ESS-Supervisor can: 

  View his personal details as well as his/her subordinates. 

ESS-Employee: 

  Has no access to the PIM module but can view his personal details under the ‘My Info’ Module.  ",,robadi9664,637ea40d3e79f12e5720faef,,,,,,,,,,OH-78,OH-79,OH-80,OH-81,OH-82,OH-83,OH-84,OH-96,OH-97,OH-100,OH-101,OH-102,OH-103,,,,,,,,,,,,,,,0|i0005j:,,,,,,,,,,,,,,To Do
Modules ,OH-25,10024,Task,Backlog,OH,OrangeHRM,software,robadi9664,637ea40d3e79f12e5720faef,,,Medium,,robadi9664,637ea40d3e79f12e5720faef,robadi9664,637ea40d3e79f12e5720faef,robadi9664,637ea40d3e79f12e5720faef,1/19/2023 16:20,1/19/2023 16:20,3/22/2023 21:24,,,OrangeHRM Release 1,,0,"This feature enables the HR Admin to configure the display/hide settings of the modules of the system. To
configure the module display settings, go to Admin>> Configuration>> Modules and the screen as shown
in Figure 5.1 will appear.  

Click “Edit “to edit module display. You may select from the list the modules you want to be
displayed/hidden.  

Click “Save” one module configuration is completed. ",,robadi9664,637ea40d3e79f12e5720faef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OH-1,Admin Module,,,,,0|i0005b:,,,,,,,,,,,,,,To Do
Date Format Localization ,OH-24,10023,Task,Backlog,OH,OrangeHRM,software,robadi9664,637ea40d3e79f12e5720faef,,,Medium,,robadi9664,637ea40d3e79f12e5720faef,robadi9664,637ea40d3e79f12e5720faef,robadi9664,637ea40d3e79f12e5720faef,1/19/2023 16:18,1/19/2023 16:18,3/22/2023 21:24,,,OrangeHRM Release 1,,0,"This feature allows the HR Admin to set up the date format that will be reflected throughout the whole
system as shown in Figure 5.0.
Once you have configured the localization settings, click “Save”. ",,robadi9664,637ea40d3e79f12e5720faef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OH-1,Admin Module,,,,,0|i00053:,,,,,,,,,,,,,,To Do
Language Localization ,OH-23,10022,Task,Backlog,OH,OrangeHRM,software,robadi9664,637ea40d3e79f12e5720faef,,,Medium,,robadi9664,637ea40d3e79f12e5720faef,robadi9664,637ea40d3e79f12e5720faef,robadi9664,637ea40d3e79f12e5720faef,1/19/2023 16:16,1/19/2023 16:16,3/22/2023 21:24,,,OrangeHRM Release 1,,0,"This feature enables the HR Admin to configure the language settings and translate the OrangeHRM system
to the language of your choice.  To configure localization settings, go to Admin>> Configuration>>
Localization and the screen as shown in Figure 5.0 would appear. Click “Edit” to edit the fields.  

The default language of the system is US English however you may also use an already set up browser
language to translate the system to the language of choice. For example:  If you are using Firefox as your
browser and it’s translated in UK English language and you want to use this particular language, click on the
“Use Browser Language if set” and select from the “Supported Language” provided. 

The language pack tool can also be obtained from the website by clicking on “Language and font help” as
shown in Figure 5.0, where you will be diverted to the web page or by simply browsing through the
OrangeHRM Website ([http://www.orangehrm.com|http://www.orangehrm.com|smart-link]  >> Community>> Translators).  ",,robadi9664,637ea40d3e79f12e5720faef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OH-1,Admin Module,,,,,0|i0004v:,,,,,,,,,,,,,,To Do
Email Subscriptions ,OH-22,10021,Task,Backlog,OH,OrangeHRM,software,robadi9664,637ea40d3e79f12e5720faef,,,Medium,,robadi9664,637ea40d3e79f12e5720faef,robadi9664,637ea40d3e79f12e5720faef,robadi9664,637ea40d3e79f12e5720faef,1/19/2023 16:15,1/19/2023 16:15,3/22/2023 21:24,,,OrangeHRM Release 1,,0,"This feature will allow the admin to subscribe to email notifications that will be sent to the employees and
supervisors in the system. A copy of the mail will be sent to the email address specified by the Admin. He/she
can also select what copies of notifications he should receive. To subscribe to a notification type, go to
Admin>> Configuration>> Email Subscriptions and a screen a shown in Figure 4.6 would appear.  

The HR Admin may also add other subscribers to the following notifications by clicking on the notification
types and you will be directed to the screen as shown in Figure 4.7. Once the fields are added, click “Save”. 

The entry will then be listed as shown in Figure 4.8 and multiple entries of subscribers for a particular
notification type may also be added or deleted. 

When you click “Back” you will be directed to the “Email Notification” screen as shown in Figure 4.9 with the
added notification subscriber reflected on the screen.  ",,robadi9664,637ea40d3e79f12e5720faef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OH-1,Admin Module,,,,,0|i0004n:,,,,,,,,,,,,,,To Do
Email Configuration ,OH-21,10020,Task,Backlog,OH,OrangeHRM,software,robadi9664,637ea40d3e79f12e5720faef,,,Medium,,robadi9664,637ea40d3e79f12e5720faef,robadi9664,637ea40d3e79f12e5720faef,robadi9664,637ea40d3e79f12e5720faef,1/19/2023 16:13,1/19/2023 16:13,3/22/2023 21:24,,,OrangeHRM Release 1,,0,"Configuration of mail settings is essential to accommodate sending and receiving notifications related to the
operations performed within the OrangeHRM application (Ex:  leave management). 

To configure the mail settings, go to Admin>> Configuration>>Email Configuration, a screen as shown in
Figure 4.5 would appear. Enter the fields accurately by clicking “Edit”, and then a test mail to an email
address of your choice could be sent to check functionality. Click “Save” when you have entered all the
settings and you may check the email account if you specified an address to receive the test mail. ",,robadi9664,637ea40d3e79f12e5720faef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OH-1,Admin Module,,,,,0|i0004f:,,,,,,,,,,,,,,To Do
 Configuration ,OH-20,10019,Story,Backlog,OH,OrangeHRM,software,robadi9664,637ea40d3e79f12e5720faef,,,Medium,,robadi9664,637ea40d3e79f12e5720faef,robadi9664,637ea40d3e79f12e5720faef,robadi9664,637ea40d3e79f12e5720faef,1/19/2023 16:08,1/28/2023 12:05,3/5/2023 11:59,,,OrangeHRM Release 1,,0,"As a HR Admin, I would like to subscribe and receive notifications and to configure the parameters in setting up the email so notifications will be sent to relevant persons which will quicken the communication processes. 

It also allows the HR admin to configure language localization for the entire system, set up a date format and enable/disable module display. ",,robadi9664,637ea40d3e79f12e5720faef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OH-1,Admin Module,,,,,0|i00047:,,,,,,,,,,,,,,To Do
 Nationalities ,OH-19,10018,Story,Backlog,OH,OrangeHRM,software,robadi9664,637ea40d3e79f12e5720faef,,,Medium,,robadi9664,637ea40d3e79f12e5720faef,robadi9664,637ea40d3e79f12e5720faef,robadi9664,637ea40d3e79f12e5720faef,1/19/2023 16:06,1/28/2023 12:05,3/5/2023 11:59,,,OrangeHRM Release 1,,0,"As a HR Admin, I would like to add, save and delete the nationality. This feature allows the HR Admin to define the different nationalities that present in the company which can
later be used in the PIM Module. Various nationalities are already pre-defined.  

To add a nationality, go to Admin>> Nationalities and click “Add”, a screen as shown in Figure 4.3 would
appear. 

Click “Save” once the field is added. 

A list of nationalities as shown in Figure 4.4 would appear once a “Nationality” is added. You may also add
multiple entries of nationalities.  

To delete a nationality, click on the check box next to the “Nationality”” name. It is also possible to delete
multiple entries at the same time by clicking the check box entries you wish to delete and simply clicking
“Delete”. ",,robadi9664,637ea40d3e79f12e5720faef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OH-1,Admin Module,,,,,0|i0003z:,,,,,,,,,,,,,,To Do
Memberships ,OH-18,10017,Task,Backlog,OH,OrangeHRM,software,robadi9664,637ea40d3e79f12e5720faef,,,Medium,,robadi9664,637ea40d3e79f12e5720faef,robadi9664,637ea40d3e79f12e5720faef,robadi9664,637ea40d3e79f12e5720faef,1/19/2023 16:04,2/2/2023 17:44,3/22/2023 21:24,,,OrangeHRM Release 1,,0,"This feature allows the HR Admin to define different membership details of the employees which can be later
used in the PIM Module.  To add a membership, go to Admin>> Qualifications>> Membership and click
“Add”, a screen as shown in Figure 4.1 would appear. 

Click “Save” once the field is added. 

A list of membership(s) as shown in Figure 4.2 would appear once a “Membership” is added. To view
membership details, click on “Membership” name. You may also add multiple entries of memberships.  

To delete a membership, click on the check box next to the “Membership”” name. It is also possible to delete
multiple entries at the same time by clicking the check box entries you wish to delete and simply clicking
“Delete”. ",,robadi9664,637ea40d3e79f12e5720faef,,,,,,,,,,OH-71,OH-72,OH-73,OH-74,,,,,,,,,,,,,,,,,,OH-1,Admin Module,,,,,0|i0003r:,,,,,,,,,,,,,,To Do
Languages ,OH-17,10016,Task,Backlog,OH,OrangeHRM,software,robadi9664,637ea40d3e79f12e5720faef,,,Medium,,robadi9664,637ea40d3e79f12e5720faef,robadi9664,637ea40d3e79f12e5720faef,robadi9664,637ea40d3e79f12e5720faef,1/19/2023 16:02,2/2/2023 17:26,3/22/2023 21:24,,,OrangeHRM Release 1,,0,"Different types of languages that employees in your company speak can be defined here and can be used in
The PIM Module later. To add an entry, go to Admin>> Qualifications>>Languages and click “Add”, a
screen as shown in Figure 3.9 would appear. 

 Click “Save” once the field is added. 

A list of languages as shown in Figure 4.0 would appear once a “Language” type is added. You may also add
multiple entries of languages.  

 To delete language types click on the check box next to the “Language” name. It is also possible to delete
multiple entries at the same time by clicking the check box entries you wish to delete and simply clicking
“Delete”.  ",,robadi9664,637ea40d3e79f12e5720faef,,,,,,,,,,OH-67,OH-68,OH-69,OH-70,,,,,,,,,,,,,,,,,,OH-1,Admin Module,,,,,0|i0003j:,,,,,,,,,,,,,,To Do
Licenses ,OH-16,10015,Task,Backlog,OH,OrangeHRM,software,robadi9664,637ea40d3e79f12e5720faef,,,Medium,,robadi9664,637ea40d3e79f12e5720faef,robadi9664,637ea40d3e79f12e5720faef,robadi9664,637ea40d3e79f12e5720faef,1/19/2023 16:00,2/2/2023 17:07,3/22/2023 21:24,,,OrangeHRM Release 1,,0,"You can define various types of licenses which can be later used in the PIM Module. To add an entry go to
Admin>> Qualifications>> Licenses and click “Add”, a screen as shown in Figure 3.7 would appear. 

Click “Save” once the field is added. 

A list of license type(s) as shown in Figure 3.8 would appear once a “License” type is added. You may also add
multiple entries of licenses.  

To delete a license type click on the check box next to the “License” name. It is also possible to delete multiple
entries at the same time by clicking the check box entries you wish to delete and simply clicking “Delete”.  ",,robadi9664,637ea40d3e79f12e5720faef,,,,,,,,,,OH-65,OH-66,,,,,,,,,,,,,,,,,,,,OH-1,Admin Module,,,,,0|i0003b:,,,,,,,,,,,,,,To Do
